,benchmark,target,total_iterations,threads,actors,pings,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,num_workers,grid_size,priorities,threshold,messages,data_size,max_value,seed,workers,messages_per_worker,write_percentage,size_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,terms,series,start_rate,pieces,left,right,accounts,transactions,data_length,block_threshold,rounds,smokers,columns,simulations,channels,block_size,max_edge_weight,precision,size,solution_limit,eating_rounds,philosophers
0,Thread Ring,lf-cpp,12,6,100.0,1000000.0,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ping Pong,lf-cpp,12,3,,300000.0,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Producer Consumer (bounded),lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A-Star Search,lf-cpp,12,24,,,master,[],default,470.651,751.264,564.19,584.0175,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fork Join (throughput),lf-cpp,12,3,60.0,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Radix Sort,lf-cpp,12,3,,,master,[],default,448.357,inf,467.9305,inf,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Concurrent Sorted Linked List,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Concurrent Sorted Linked List,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Concurrent Sorted Linked List,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Big,lf-cpp,12,24,120.0,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sleeping Barber,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
11,Thread Ring,lf-cpp,12,24,100.0,1000000.0,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Logistic Map Series,lf-cpp,12,6,,,master,[],default,68.8729,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
13,Producer Consumer (bounded),lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ping Pong,lf-cpp,12,24,,300000.0,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Trapezoidal Approximation,lf-cpp,12,24,,,master,[],default,77.9552,inf,inf,inf,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
16,Bank Transaction,lf-cpp,12,24,,,master,[],default,126.859,144.603,132.59050000000002,133.78483333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
17,Sleeping Barber,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
18,Recursive Matrix Multiplication,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
19,Cigarette Smokers,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
20,Trapezoidal Approximation,lf-cpp,12,6,,,master,[],default,82.1623,inf,83.05930000000001,inf,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
21,Thread Ring,lf-cpp,12,3,100.0,1000000.0,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Filter Bank,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
23,All-Pairs Shortest Path,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
24,Cigarette Smokers,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
25,All-Pairs Shortest Path,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
26,Precise Pi Computation,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
27,Recursive Matrix Multiplication,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
28,NQueens first N solutions,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
29,Filter Bank,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
30,A-Star Search,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A-Star Search,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Logistic Map Series,lf-cpp,12,3,,,master,[],default,144.845,inf,162.40949999999998,inf,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
33,Fork Join (throughput),lf-cpp,12,6,60.0,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Radix Sort,lf-cpp,12,24,,,master,[],default,509.182,inf,529.2935,inf,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Filter Bank,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,
36,Philosophers,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
37,Cigarette Smokers,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
38,Trapezoidal Approximation,lf-cpp,12,3,,,master,[],default,82.506,inf,inf,inf,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
39,Fork Join (throughput),lf-cpp,12,24,60.0,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Counting Actor,lf-cpp,12,24,,,master,[],default,392.78,inf,410.312,inf,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Counting Actor,lf-cpp,12,3,,,master,[],default,331.467,inf,343.84799999999996,inf,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Precise Pi Computation,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
43,Philosophers,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
44,Ping Pong,lf-cpp,12,6,,300000.0,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Counting Actor,lf-cpp,12,6,,,master,[],default,340.669,inf,354.682,inf,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Producer Consumer (bounded),lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Radix Sort,lf-cpp,12,6,,,master,[],default,447.434,inf,476.8165,inf,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NQueens first N solutions,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
49,Philosophers,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0
50,Big,lf-cpp,12,3,120.0,,master,[],default,232.9,253.578,237.78300000000002,239.40725,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bank Transaction,lf-cpp,12,3,,,master,[],default,115.107,125.737,118.161,118.65683333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
52,Concurrent Dictionary,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NQueens first N solutions,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,20.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1500000.0,,
54,Concurrent Dictionary,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,All-Pairs Shortest Path,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,
56,Precise Pi Computation,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,4250.0,,,,
57,Logistic Map Series,lf-cpp,12,24,,,master,[],default,69.4494,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
58,Recursive Matrix Multiplication,lf-cpp,12,24,,,master,[],default,inf,inf,inf,inf,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
59,Sleeping Barber,lf-cpp,12,3,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
60,Concurrent Dictionary,lf-cpp,12,6,,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,,,,,20.0,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Big,lf-cpp,12,6,120.0,,master,[],default,inf,inf,inf,inf,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bank Transaction,lf-cpp,12,6,,,master,[],default,122.214,138.321,135.0745,134.01183333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
